account,total_pnl,avg_pnl,trades,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,3818,0.3596123624934521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,7280,0.4427197802197802
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,3809,0.3019165135206091
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,13311,0.43858462925400044
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,3239,0.5199135535659154
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,815,0.45521472392638035
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,3589,0.32766787405962666
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,332,0.4759036144578313
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,383,0.2349869451697128
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1237,0.48423605497170574
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,8519,0.35344524005164923
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,4356,0.48622589531680444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,7584,0.3603639240506329
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,12236,0.40119320039228507
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,975,0.4317948717948718
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,1590,0.34591194968553457
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1430,0.3062937062937063
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,9893,0.8108763772364298
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,1559,0.45221295702373315
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,4601,0.38274288198217776
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,1911,0.33019361590790164
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,14998,0.26196826243499133
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,3052,0.2853866317169069
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,15605,0.3457866068567767
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,417,0.5731414868105515
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,563,0.40852575488454707
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,534,0.32209737827715357
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,14733,0.3371343243059798
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,4838,0.4386109962794543
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,21192,0.46758210645526616
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,2641,0.32752745172283226
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,40184,0.428230141349791
